Variable,Mean,Std_error,Min,Max,Mean_pct,Std_error_pct
EMPLOYED,0.9633034359023688,9.876663631776812e-4,0,1,96.33034359023688,0.09876663631776812
HIGHED,0.40491182987243984,0.0025786173365292117,0,1,40.49118298724398,0.25786173365292114
MINORITY,0.23830794229086602,0.0022380767673594757,0,1,23.830794229086603,0.22380767673594756
FEMALE,0.46807786483306474,0.0026211935506629774,0,1,46.80778648330647,0.26211935506629774
YOUNG,0.354772312985345,0.0025133175523249203,0,1,35.4772312985345,0.251331755232492
AGE,42.07617413539345,0.07693457394066609,16,85,NA,NA
