YEAR,MONTH,AGE,SEX,RACE,EDUC,EMPSTAT,WTFINL,MARST,METRO,DIFFANY
2023,3,22,2,300,73,34,4751.8216,6,3,1
2023,3,46,2,100,111,10,2105.16,4,3,1
2023,3,80,1,100,111,36,2235.6,1,2,1
2023,3,80,2,100,123,36,2061.5398,1,2,1
2023,3,36,1,200,123,10,3649.3116,6,2,1
2023,3,67,1,100,50,21,2144.279,1,3,1
2023,3,44,2,100,30,34,2403.7692,1,3,1
2023,3,8,1,100,1,0,2477.2086,9,3,0
2023,3,9,1,100,1,0,3736.9022,9,3,0
2023,3,10,1,100,1,0,2903.1957,9,3,0
2023,3,53,1,200,124,32,2711.668,1,3,2
2023,3,56,2,200,111,10,2116.7916,1,3,1
2023,3,54,1,100,73,32,2657.2571,4,2,1
2023,3,56,2,200,81,10,2140.6945,4,2,1
2023,3,29,1,200,73,34,4820.7314,6,2,1
2023,3,85,1,100,81,36,2210.6374,5,3,1
2023,3,50,1,100,111,10,2552.6754,1,4,1
2023,3,42,2,100,92,10,2335.2392,1,4,1
2023,3,5,1,100,1,0,2562.1608,9,4,0
2023,3,50,2,100,111,10,2192.3307,1,4,1
2023,3,51,1,100,111,10,2657.2571,1,4,1
2023,3,15,2,100,40,34,2877.5083,6,4,1
2023,3,34,1,100,123,10,2608.8796,1,4,1
2023,3,34,2,100,123,10,2532.9513,1,4,1
2023,3,5,1,100,1,0,2533.5518,9,4,0
2023,3,62,1,651,111,10,2864.7124,1,4,1
2023,3,56,2,651,81,34,2496.5585,1,4,1
2023,3,74,2,100,73,36,1580.5512,4,4,1
2023,3,77,2,100,111,36,2061.5398,4,4,1
2023,3,67,1,100,125,10,2168.4923,4,4,1
2023,3,40,2,100,92,10,2309.164,1,4,1
2023,3,49,1,100,125,10,2225.3988,1,4,1
2023,3,17,1,100,50,34,3053.6782,6,4,1
2023,3,13,1,100,1,0,2402.8812,9,4,0
2023,3,10,2,100,1,0,2491.416,9,4,0
2023,3,27,1,100,111,10,2900.2119,1,4,1
2023,3,26,2,100,91,10,2798.5045,1,4,1
2023,3,3,1,100,1,0,2602.4295,9,4,0
2023,3,0,2,100,1,0,3760.1297,9,4,0
2023,3,68,2,100,73,36,1734.4897,5,4,1
2023,3,64,2,100,123,36,2055.8523,1,4,1
2023,3,70,1,100,111,36,2040.3737,1,4,1
2023,3,41,1,100,111,10,2689.6857,1,4,1
2023,3,43,2,100,123,10,2403.7692,1,4,1
2023,3,15,2,100,40,34,2845.3782,6,4,1
2023,3,13,1,100,1,0,2571.2959,9,4,0
2023,3,60,2,100,111,10,1960.1831,4,4,1
2023,3,60,2,100,123,36,1960.1831,5,2,1
2023,3,79,2,100,91,36,1980.4038,5,2,1
2023,3,38,2,100,123,10,2607.7427,6,2,1
2023,3,7,1,100,1,0,2243.6277,9,2,0
2023,3,43,1,100,92,10,2613.0044,6,2,1
2023,3,72,2,200,73,36,1988.1685,5,3,1
2023,3,64,2,100,40,36,2032.8968,4,3,1
2023,3,63,1,100,73,36,2418.9198,1,3,1
2023,3,58,2,100,73,32,2242.0096,1,3,2
2023,3,37,1,100,123,10,3031.6178,1,3,1
2023,3,39,2,100,123,34,2684.2696,1,3,1
2023,3,6,1,100,1,0,2639.5952,9,3,0
2023,3,30,2,100,60,36,2666.4989,5,2,1
2023,3,85,1,100,111,36,2235.6,1,3,1
2023,3,80,2,100,91,36,2061.5398,1,3,1
2023,3,62,2,100,111,10,2017.7067,1,3,1
2023,3,64,2,802,81,10,3022.0693,1,3,1
2023,3,30,1,802,111,10,2766.9491,6,2,1
2023,3,53,2,100,123,10,2167.8512,1,3,1
2023,3,49,1,100,81,10,2316.5721,1,3,1
2023,3,19,1,100,81,10,3178.7857,6,3,1
2023,3,16,2,100,50,34,2792.0438,6,3,1
