EMPSTATUS,SEX_F,EDUC_LEVEL,MARITAL,RESIDENCE,AGE_GROUP,MINORITY,DISABLED,WTFINL
Employed,Female,Secondary,Married,Urban,41-64,1,No difficulty,3022.0693
Employed,Male,Higher,Single,Urban,25-35,1,No difficulty,2766.9491
Employed,Female,Higher,Married,Urban,41-64,0,No difficulty,2167.8512
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,2316.5721
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,3178.7857
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,2792.0438
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,2105.16
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,2316.5721
Inactive,Male,Secondary,Single,Urban,16-24,0,No difficulty,3178.7857
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,2973.2942
Employed,Male,Higher,Married,Urban,25-35,0,No difficulty,3081.3542
Inactive,Female,Primary,Married,Urban,41-64,0,No difficulty,2106.6948
Employed,Male,Primary,Married,Urban,41-64,0,No difficulty,3217.3644
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,3392.8095
Inactive,Female,Primary,Married,Urban,25-35,0,No difficulty,3127.7312
Employed,Male,Primary,Married,Urban,25-35,0,No difficulty,3108.3997
Employed,Female,Higher,Single,Urban,41-64,0,No difficulty,2105.16
Employed,Male,Secondary,Single,Urban,25-35,0,No difficulty,3081.3542
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,2792.0438
Employed,Male,Higher,Married,Urban,36-40,0,No difficulty,3031.6178
Inactive,Female,Higher,Married,Urban,36-40,0,No difficulty,2684.2696
Employed,Male,Secondary,Single,Urban,25-35,0,No difficulty,3031.6178
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,2689.6857
Employed,Female,Higher,Married,Urban,36-40,0,No difficulty,2684.2696
Employed,Male,Secondary,Married,Urban,25-35,0,No difficulty,2715.7639
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,2636.7249
Employed,Male,Higher,Married,Urban,41-64,0,No difficulty,687.8875
Employed,Female,Higher,Married,Urban,25-35,0,No difficulty,580.8466
Employed,Male,Secondary,Single,Rural,36-40,1,Disabled,820.4329
Employed,Female,Secondary,Single,Rural,41-64,0,No difficulty,408.4109
Employed,Male,Secondary,Single,Rural,36-40,0,No difficulty,860.051
Employed,Female,Secondary,Single,Urban,25-35,0,No difficulty,580.8466
Employed,Female,Secondary,Single,Urban,25-35,0,No difficulty,580.8466
Employed,Male,Secondary,Single,Urban,36-40,1,No difficulty,802.3131
Inactive,Female,Secondary,Single,Rural,41-64,1,Disabled,993.9914
Employed,Female,Secondary,Married,Urban,41-64,0,No difficulty,707.5518
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,678.5933
Employed,Female,Secondary,Single,Urban,16-24,0,No difficulty,545.9816
Employed,Female,Higher,Single,Rural,41-64,0,No difficulty,784.4198
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,664.0712
Employed,Female,Secondary,Married,Rural,41-64,0,No difficulty,713.0298
Employed,Female,Secondary,Single,Rural,25-35,0,No difficulty,494.3648
Inactive,Male,Higher,Single,Rural,41-64,0,No difficulty,747.7063
Employed,Female,Secondary,Married,Urban,16-24,0,No difficulty,534.2974
Employed,Male,Secondary,Married,Urban,16-24,0,No difficulty,840.8699
Employed,Female,Higher,Single,Urban,25-35,0,No difficulty,494.3648
Inactive,Female,Secondary,Single,Urban,41-64,0,No difficulty,779.7406
Employed,Male,Secondary,Single,Urban,36-40,1,No difficulty,770.6155
Inactive,Female,Secondary,Single,Urban,41-64,1,No difficulty,1021.0294
Inactive,Male,Secondary,Married,Rural,41-64,1,No difficulty,1033.7027
Employed,Female,Secondary,Married,Rural,41-64,1,No difficulty,903.1581
Employed,Female,Secondary,Single,Rural,25-35,1,No difficulty,721.0261
Inactive,Male,Secondary,Single,Rural,25-35,1,No difficulty,750.1897
Inactive,Female,Secondary,Single,Rural,25-35,1,No difficulty,639.7387
Employed,Male,Secondary,Single,Rural,16-24,1,No difficulty,1020.1077
Inactive,Female,Secondary,Single,Rural,16-24,1,No difficulty,807.3553
Inactive,Male,Secondary,Married,Rural,25-35,1,Disabled,694.4126
Employed,Female,Higher,Married,Rural,25-35,1,No difficulty,721.0261
Employed,Male,Secondary,Married,Rural,25-35,0,No difficulty,674.5127
Employed,Female,Higher,Married,Rural,25-35,0,No difficulty,494.3648
Employed,Female,Secondary,Single,Rural,16-24,1,No difficulty,443.8433
Employed,Female,Secondary,Single,Rural,16-24,1,No difficulty,387.3838
Employed,Male,Higher,Married,Rural,36-40,0,No difficulty,682.6444
Inactive,Female,Higher,Married,Rural,36-40,0,No difficulty,456.0691
Employed,Male,Secondary,Married,Urban,41-64,0,No difficulty,693.394
Inactive,Female,Secondary,Married,Urban,41-64,0,No difficulty,767.633
Employed,Male,Higher,Single,Urban,16-24,0,No difficulty,840.8699
Employed,Male,Secondary,Single,Urban,16-24,0,No difficulty,789.5131
Inactive,Female,Primary,Single,Urban,16-24,0,No difficulty,464.2286
Employed,Female,Secondary,Married,Urban,25-35,1,No difficulty,721.0261
Employed,Male,Secondary,Married,Urban,25-35,1,No difficulty,694.4126
Employed,Male,Higher,Single,Urban,25-35,0,No difficulty,792.5087
Employed,Male,Secondary,Married,Rural,41-64,0,No difficulty,687.8875
Employed,Female,Secondary,Married,Rural,36-40,0,No difficulty,524.3843
Employed,Female,Higher,Single,Urban,16-24,0,Disabled,534.2974
Employed,Male,Higher,Single,Urban,16-24,0,No difficulty,840.8699
Employed,Male,Higher,Married,Urban,36-40,0,No difficulty,884.6805
